,address
0,"Alewife Brook Pkwy and Cambridge Park Dr, Cambridge, MA 02140"
1,"Dorchester Ave and Southhampton St, South Boston, MA 02127"
2,"Dorchester Ave and Ashmont St, Boston, MA 02124"
3,"197 Ivory St, Braintree, MA 02184"
4,"Dorchester Ave and Broadway, Boston, MA"
5,"Massachusetts Ave and Prospect St, Cambridge, MA 02139"
6,"Cambridge St and Charles St, Boston, MA"
7,"College Ave and Elm St, Somerville, MA"
8,"Washington St and Summer St, Boston, MA"
9,"50 Freeman St, Dorchester, MA 02122"
10,"1400 Massachusetts Ave, Cambridge, MA"
11,"599 Old Colony Ave, Boston, MA 02127-3805"
12,"300 Main St, Cambridge, MA 02142"
13,"Hancock St and Hunt St, Quincy, MA 02171"
14,"Tremont St and Winter St, Boston, MA 02108"
15,"1899 Massachusetts Ave, Cambridge, MA 02140"
16,"Burgin Pkwy and Centre St, Quincy, MA 02169"
17,"175 Thomas E Burgin Pkwy, Quincy, MA 02169"
18,"125 Savin Hill Ave, Dorchester, MA 02124"
19,"Dayton St and Clementine Park, Dorchester, MA 02124"
20,"700 Atlantic Ave, Boston, MA 02110"
21,"90 Woodbine St, Quincy, MA 02171"
22,"Dorchester Ave and Ashmont St, Boston, MA 02124"
23,"Butler St and Branchfield St, Dorchester, MA 02124"
24,"50 Capen St, Milton, MA 02186"
25,"Fellsway St and Milton St, Dorchester, MA 02124"
26,"23 Central Ave, Milton, MA 02186"
27,"500 River St, Boston, MA 02126"
28,"1 Adams St, Milton, MA 02186"
29,"291 Valley Rd, Milton, MA 02186"
30,"499 Foley St, Somerville, MA 02145"
31,"145 Dartmouth St Boston, MA 02116"
32,"Washington St and Boylston St, Boston, MA"
33,"Austin St and Rutherford Ave, Charlestown, MA"
34,"Washington St and Summer St, Boston, MA"
35,"Washington St and Hyde Park Ave, Jamaica Plain, MA 02130"
36,"150 Green St, Jamaica Plain, MA"
37,"136 Blackstone St, Boston, MA 02109"
38,"1500 Columbus Ave, Jamaica Plain, MA"
39,"Commercial St and Pleasant St, Malden, MA 02148"
40,"393 Massachusetts Ave, Boston, MA 02118"
41,"135 Causeway St, Boston, MA 02114"
42,"Washington St and Winter St, Malden, MA 02148"
